,num_mc_samples,model_train_size,image_id,run_id,agg_uncertainty
0,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.5306955
1,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,1,0.70680225
2,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,2,0.45228577
3,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,3,0.54280156
4,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,4,0.37377343
5,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,5,0.5335989
6,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,6,0.5720277
7,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,7,0.4632135
8,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,8,0.54003394
9,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,9,0.4440295
10,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,0,0.38222116
11,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,1,0.36819705
12,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,2,0.32594568
13,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,3,0.31720924
14,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,4,0.38300854
15,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,5,0.34019834
16,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,6,0.33218357
17,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,7,0.3503738
18,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,8,0.3641581
19,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,9,0.3628252
20,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,0,0.21008472
21,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,1,0.20996737
22,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,2,0.2001065
23,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,3,0.21491103
24,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,4,0.22306745
25,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,5,0.21712697
26,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,6,0.21233878
27,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,7,0.203695
28,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,8,0.2246316
29,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,9,0.2045462
30,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,0,0.3242545
31,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,1,0.37918144
32,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,2,0.30998927
33,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,3,0.36740604
34,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,4,0.2691598
35,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,5,0.28503588
36,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,6,0.336722
37,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,7,0.30970758
38,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,8,0.36081976
39,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,9,0.28107223
40,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,0,0.32618165
41,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,1,0.3643624
42,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,2,0.3542286
43,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,3,0.4152357
44,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,4,0.35238144
45,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,5,0.33732682
46,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,6,0.41061285
47,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,7,0.34771782
48,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,8,0.33707952
49,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,9,0.35482275
50,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,0,0.3158583
51,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,1,0.28657925
52,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,2,0.3116452
53,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,3,0.32025105
54,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,4,0.29830754
55,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,5,0.30136365
56,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,6,0.32396528
57,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,7,0.24009547
58,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,8,0.28021455
59,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,9,0.27606013
60,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,0,0.20623907
61,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,1,0.22026236
62,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,2,0.2330979
63,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,3,0.20519373
64,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,4,0.20174235
65,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,5,0.25215474
66,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,6,0.20417027
67,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,7,0.24323466
68,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,8,0.22332118
69,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,9,0.23679452
70,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,0,0.4940947
71,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,1,0.64569104
72,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,2,0.6065201
73,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,3,0.557346
74,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,4,0.4928949
75,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,5,0.5360321
76,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,6,0.5557099
77,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,7,0.6125741
78,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,8,0.61562103
79,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,9,0.54172486
80,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,0,0.20442252
81,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,1,0.19746904
82,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,2,0.20268188
83,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,3,0.20068046
84,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,4,0.22267531
85,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,5,0.21864878
86,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,6,0.21978982
87,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,7,0.20116286
88,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,8,0.22226475
89,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,9,0.19878331
90,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,0,0.17031957
91,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,1,0.17868558
92,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,2,0.16159287
93,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,3,0.23220067
94,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,4,0.16780187
95,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,5,0.21027175
96,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,6,0.18276082
97,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,7,0.18560418
98,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,8,0.20210826
99,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,9,0.16105968
100,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,0,0.17219524
101,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,1,0.16546422
102,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,2,0.1701567
103,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,3,0.18948473
104,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,4,0.2034466
105,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,5,0.15055689
106,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,6,0.18280746
107,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,7,0.14010616
108,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,8,0.13819581
109,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,9,0.15553214
110,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,0,0.20372581
111,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,1,0.18452321
112,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,2,0.21730241
113,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,3,0.18318355
114,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,4,0.17804569
115,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,5,0.17795429
116,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,6,0.18817317
117,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,7,0.1534065
118,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,8,0.17314136
119,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,9,0.18816306
120,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,0,0.24541035
121,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,1,0.25959235
122,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,2,0.23615195
123,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,3,0.23259991
124,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,4,0.2555371
125,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,5,0.23402666
126,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,6,0.21714306
127,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,7,0.23115951
128,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,8,0.2461709
129,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,9,0.24707258
130,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,0,0.23537602
131,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,1,0.20476238
132,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,2,0.24772768
133,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,3,0.23472682
134,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,4,0.24881218
135,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,5,0.23247594
136,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,6,0.23394965
137,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,7,0.26212004
138,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,8,0.238061
139,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,9,0.22068702
140,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,0,0.25386104
141,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,1,0.266845
