,num_mc_samples,max_noise,model_train_size,image_id,run_id,agg_uncertainty
0,10,0.05,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.30053622
1,10,0.1,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.2954778
2,10,0.2,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.21570116
3,20,0.05,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.26918262
4,20,0.1,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.23184061
5,20,0.2,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.23481396
6,40,0.05,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.2347192
7,40,0.1,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.23521212
8,40,0.2,55,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.20939778
9,10,0.05,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.22495967
10,10,0.1,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.25612032
11,10,0.2,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.24270102
12,20,0.05,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.24330024
13,20,0.1,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.22956324
14,20,0.2,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.3606461
15,40,0.05,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.24581192
16,40,0.1,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.2159214
17,40,0.2,240,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.27338475
