,num_mc_samples,model_train_size,image_id,agg_uncertainty
0,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0.0
1,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,0.12073463
2,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,0.08437915
3,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,0.14277808
4,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,0.08459246
5,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,0.16172032
6,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,0.05562546
7,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,0.15084833
8,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_120,0.0
9,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_123,0.1178793
10,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_126,0.088407025
11,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_129,0.05761132
12,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_132,0.0
13,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_135,0.024773085
14,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_138,0.054733478
15,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,0.07179019
16,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,0.09007996
17,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,0.086033724
18,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,0.0
19,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,0.02541805
20,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,0.01757775
21,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,0.07936263
22,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,0.0697075
23,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,0.07243428
24,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,0.11098971
25,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,0.023365635
26,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_171,0.09496276
27,20,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_174,0.028754294
