,num_mc_samples,dropout_prob,model_train_size,image_id,run_id,agg_uncertainty
0,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,0,0.0
1,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,1,0.0
2,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,2,0.0
3,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,3,0.0
4,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,4,0.0
5,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,5,0.0
6,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,6,0.0
7,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,7,0.0
8,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,8,0.0
9,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_0,9,0.0
10,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,0,0.0961675
11,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,1,0.0963345
12,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,2,0.09689894
13,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,3,0.09583044
14,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,4,0.09781688
15,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,5,0.09720552
16,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,6,0.09517288
17,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,7,0.095885836
18,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,8,0.094892666
19,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_102,9,0.09746506
20,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,0,0.0
21,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,1,0.0
22,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,2,0.0
23,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,3,0.0
24,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,4,0.0
25,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,5,0.0
26,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,6,0.0
27,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,7,0.0
28,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,8,0.0
29,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_105,9,0.0
30,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,0,0.034957375
31,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,1,0.0343288
32,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,2,0.0343329
33,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,3,0.035371955
34,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,4,0.03389998
35,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,5,0.034857806
36,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,6,0.035294265
37,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,7,0.035320908
38,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,8,0.036025237
39,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_108,9,0.035322834
40,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,0,0.075394414
41,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,1,0.075318076
42,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,2,0.075546995
43,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,3,0.07672449
44,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,4,0.075679176
45,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,5,0.07618189
46,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,6,0.07516323
47,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,7,0.07666697
48,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,8,0.075688325
49,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_111,9,0.07614773
50,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,0,0.03970326
51,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,1,0.039341956
52,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,2,0.0405132
53,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,3,0.039699774
54,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,4,0.040006455
55,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,5,0.039691385
56,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,6,0.03941482
57,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,7,0.039335962
58,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,8,0.03962179
59,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_114,9,0.039205026
60,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,0,0.0
61,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,1,0.0
62,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,2,0.0
63,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,3,0.0
64,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,4,0.0
65,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,5,0.017272728
66,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,6,0.017272728
67,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,7,0.0
68,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,8,0.0
69,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_117,9,0.0
70,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,0,0.0
71,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,1,0.0
72,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,2,0.0
73,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,3,0.0
74,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,4,0.0
75,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,5,0.0
76,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,6,0.0
77,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,7,0.0
78,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_12,8,0.0
